frame.number	frame.time	frame.time_relative	ip.proto	ip.src	udp.srcport	tcp.srcport	ip.dst	udp.dstport	tcp.dstport	frame.len
54	Apr 25, 2006 05:58:54.646536000 CDT	0.022171000	6	192.168.62.121		5901	10.100.100.100		2834	614
55	Apr 25, 2006 05:58:54.646752000 CDT	0.022387000	17	192.168.62.121	32920		227.111.1.4	12345		1358
56	Apr 25, 2006 05:58:54.646956000 CDT	0.022591000	17	192.168.62.121	32917		227.111.1.3	12345		1358
57	Apr 25, 2006 05:58:54.647146000 CDT	0.022781000	17	192.168.62.121	32923		227.111.1.6	12345		1358
58	Apr 25, 2006 05:58:54.647334000 CDT	0.022969000	17	192.168.62.121	32921		227.111.1.5	12345		1358
59	Apr 25, 2006 05:58:54.647342000 CDT	0.022977000	6	10.100.100.100		2834	192.168.62.121		5901	64
60	Apr 25, 2006 05:58:54.647538000 CDT	0.023173000	17	192.168.62.121	32917		227.111.1.3	12345		1358
61	Apr 25, 2006 05:58:54.647716000 CDT	0.023351000	17	192.168.62.121	32915		227.111.1.1	12345		1358
62	Apr 25, 2006 05:58:54.647901000 CDT	0.023536000	17	192.168.62.121	32921		227.111.1.5	12345		1358
63	Apr 25, 2006 05:58:54.648076000 CDT	0.023711000	17	192.168.62.121	32920		227.111.1.4	12345		1358
64	Apr 25, 2006 05:58:54.648268000 CDT	0.023903000	17	192.168.62.121	32917		227.111.1.3	12345		1358
65	Apr 25, 2006 05:58:54.648450000 CDT	0.024085000	17	192.168.62.121	32923		227.111.1.6	12345		1358
66	Apr 25, 2006 05:58:54.648616000 CDT	0.024251000	17	192.168.62.121	32916		227.111.1.2	12345		1358
67	Apr 25, 2006 05:58:54.648821000 CDT	0.024456000	17	192.168.62.121	32915		227.111.1.1	12345		1358
68	Apr 25, 2006 05:58:54.649018000 CDT	0.024653000	17	192.168.62.121	32921		227.111.1.5	12345		1358
69	Apr 25, 2006 05:58:54.649153000 CDT	0.024788000	17	192.168.62.121	32917		227.111.1.3	12345		1358
70	Apr 25, 2006 05:58:54.649349000 CDT	0.024984000	17	192.168.62.121	32923		227.111.1.6	12345		1358
71	Apr 25, 2006 05:58:54.649357000 CDT	0.024992000	6	10.100.100.100		2834	192.168.62.121		5901	60
72	Apr 25, 2006 05:58:54.649551000 CDT	0.025186000	17	192.168.62.121	32917		227.111.1.3	12345		1358
73	Apr 25, 2006 05:58:54.649742000 CDT	0.025377000	17	192.168.62.121	32920		227.111.1.4	12345		1358
74	Apr 25, 2006 05:58:54.649928000 CDT	0.025563000	17	192.168.62.121	32915		227.111.1.1	12345		1358
75	Apr 25, 2006 05:58:54.650114000 CDT	0.025749000	17	192.168.62.121	32921		227.111.1.5	12345		1358
76	Apr 25, 2006 05:58:54.650311000 CDT	0.025946000	17	192.168.62.121	32923		227.111.1.6	12345		1358
77	Apr 25, 2006 05:58:54.650499000 CDT	0.026134000	17	192.168.62.121	32917		227.111.1.3	12345		1358
78	Apr 25, 2006 05:58:54.650693000 CDT	0.026328000	17	192.168.62.121	32920		227.111.1.4	12345		1358
79	Apr 25, 2006 05:58:54.650912000 CDT	0.026547000	17	192.168.62.121	32921		227.111.1.5	12345		1358
80	Apr 25, 2006 05:58:54.651086000 CDT	0.026721000	17	192.168.62.121	32916		227.111.1.2	12345		1358
81	Apr 25, 2006 05:58:54.651243000 CDT	0.026878000	17	192.168.62.121	32915		227.111.1.1	12345		1358
82	Apr 25, 2006 05:58:54.651449000 CDT	0.027084000	17	192.168.62.121	32923		227.111.1.6	12345		1358
83	Apr 25, 2006 05:58:54.651647000 CDT	0.027282000	17	192.168.62.121	32917		227.111.1.3	12345		1358
84	Apr 25, 2006 05:58:54.651791000 CDT	0.027426000	17	192.168.62.121	32921		227.111.1.5	12345		1358
85	Apr 25, 2006 05:58:54.651965000 CDT	0.027600000	17	192.168.62.121	32917		227.111.1.3	12345		1358
86	Apr 25, 2006 05:58:54.652187000 CDT	0.027822000	17	192.168.62.121	32920		227.111.1.4	12345		1358
87	Apr 25, 2006 05:58:54.652406000 CDT	0.028041000	17	192.168.62.121	32915		227.111.1.1	12345		1358
88	Apr 25, 2006 05:58:54.652624000 CDT	0.028259000	17	192.168.62.121	32923		227.111.1.6	12345		1358
89	Apr 25, 2006 05:58:54.652846000 CDT	0.028481000	17	192.168.62.121	32921		227.111.1.5	12345		1358
90	Apr 25, 2006 05:58:54.653072000 CDT	0.028707000	17	192.168.62.121	32917		227.111.1.3	12345		1358
91	Apr 25, 2006 05:58:54.653287000 CDT	0.028922000	17	192.168.62.121	32920		227.111.1.4	12345		1358
92	Apr 25, 2006 05:58:54.653515000 CDT	0.029150000	17	192.168.62.121	32915		227.111.1.1	12345		1358
93	Apr 25, 2006 05:58:54.653734000 CDT	0.029369000	17	192.168.62.121	32923		227.111.1.6	12345		1358
94	Apr 25, 2006 05:58:54.653950000 CDT	0.029585000	17	192.168.62.121	32921		227.111.1.5	12345		1358
95	Apr 25, 2006 05:58:54.654174000 CDT	0.029809000	17	192.168.62.121	32916		227.111.1.2	12345		1358
96	Apr 25, 2006 05:58:54.654395000 CDT	0.030030000	17	192.168.62.121	32917		227.111.1.3	12345		1358
97	Apr 25, 2006 05:58:54.654615000 CDT	0.030250000	17	192.168.62.121	32923		227.111.1.6	12345		1358
98	Apr 25, 2006 05:58:54.654652000 CDT	0.030287000	6	192.168.62.121		5901	10.100.100.100		2834	422
99	Apr 25, 2006 05:58:54.654658000 CDT	0.030293000	6	10.100.100.100		2834	192.168.62.121		5901	60
100	Apr 25, 2006 05:58:54.654960000 CDT	0.030595000	17	192.168.62.121	32920		227.111.1.4	12345		1358
101	Apr 25, 2006 05:58:54.654967000 CDT	0.030602000	6	10.100.100.100		2834	192.168.62.121		5901	64
102	Apr 25, 2006 05:58:54.655209000 CDT	0.030844000	17	192.168.62.121	32915		227.111.1.1	12345		1358
103	Apr 25, 2006 05:58:54.655430000 CDT	0.031065000	17	192.168.62.121	32921		227.111.1.5	12345		1358
104	Apr 25, 2006 05:58:54.655650000 CDT	0.031285000	17	192.168.62.121	32917		227.111.1.3	12345		1358
105	Apr 25, 2006 05:58:54.655869000 CDT	0.031504000	17	192.168.62.121	32923		227.111.1.6	12345		1358
106	Apr 25, 2006 05:58:54.656089000 CDT	0.031724000	17	192.168.62.121	32915		227.111.1.1	12345		1358
107	Apr 25, 2006 05:58:54.656310000 CDT	0.031945000	17	192.168.62.121	32921		227.111.1.5	12345		1358
108	Apr 25, 2006 05:58:54.656527000 CDT	0.032162000	17	192.168.62.121	32920		227.111.1.4	12345		1358
109	Apr 25, 2006 05:58:54.656747000 CDT	0.032382000	17	192.168.62.121	32917		227.111.1.3	12345		1358
110	Apr 25, 2006 05:58:54.656966000 CDT	0.032601000	17	192.168.62.121	32923		227.111.1.6	12345		1358
111	Apr 25, 2006 05:58:54.664275000 CDT	0.039910000	17	192.168.62.121	32916		227.111.1.2	12345		1358
112	Apr 25, 2006 05:58:54.664437000 CDT	0.040072000	17	192.168.62.121	32915		227.111.1.1	12345		1358
113	Apr 25, 2006 05:58:54.664634000 CDT	0.040269000	17	192.168.62.121	32921		227.111.1.5	12345		1358
114	Apr 25, 2006 05:58:54.664810000 CDT	0.040445000	17	192.168.62.121	32920		227.111.1.4	12345		1358
115	Apr 25, 2006 05:58:54.664986000 CDT	0.040621000	17	192.168.62.121	32917		227.111.1.3	12345		1358
116	Apr 25, 2006 05:58:54.665161000 CDT	0.040796000	17	192.168.62.121	32923		227.111.1.6	12345		1358
117	Apr 25, 2006 05:58:54.665352000 CDT	0.040987000	17	192.168.62.121	32921		227.111.1.5	12345		1358
